NAME,total_housing_units,built_2020_or_later,built_2010_to_2019,built_2000_to_2009,built_1990_to_1999,built_1980_to_1989,built_1970_to_1979,built_1960_to_1969,built_1950_to_1959,built_1940_to_1949,median_year_year_built,state,county
"Calaveras County, California",27579,146,1482,5090,5098,6536,4180,2323,1158,627,1987,06,009
"Colusa County, California",8157,2,702,1298,1110,865,1121,629,920,476,1979,06,011
"Contra Costa County, California",426585,2789,22133,50804,53980,67390,74951,54725,53750,28009,1978,06,013
"Del Norte County, California",11156,48,595,1356,2049,1951,1806,902,1467,384,1982,06,015
"El Dorado County, California",94258,854,5278,14834,13674,17721,20956,9734,5947,2461,1983,06,017
"Fresno County, California",342003,4093,28218,51838,46813,44522,59185,37834,36309,15418,1981,06,019
"Glenn County, California",10973,155,483,1466,1425,1538,1775,1133,1088,732,1978,06,021
"Humboldt County, California",62625,273,2909,5390,7890,8291,9372,6894,8439,4330,1973,06,023
"Imperial County, California",57511,505,5076,11561,9848,8011,8300,5371,5108,1751,1988,06,025
"Inyo County, California",9500,22,358,778,924,1400,1939,1512,849,806,1973,06,027
"Kern County, California",304481,2386,25516,52888,41151,48843,48382,29316,29917,13387,1984,06,029
"Kings County, California",46695,502,3875,8396,7910,6584,6956,4525,3294,2100,1986,06,031
"Lake County, California",34271,227,1641,5058,3869,6460,7142,3977,3301,1293,1980,06,033
"Lassen County, California",12232,64,245,1750,1602,1860,1905,1150,1205,931,1977,06,035
"Los Angeles County, California",3624084,19884,161612,204277,225956,434144,503630,511143,694167,348843,1965,06,037
"Madera County, California",50368,704,3397,10777,8490,7654,8881,3576,2954,2207,1988,06,039
"Marin County, California",111860,264,2630,5417,7895,10518,21405,21230,21166,7113,1966,06,041
"Mariposa County, California",9796,0,726,1503,1727,2140,1585,778,629,384,1986,06,043
"Mendocino County, California",41495,262,1492,3785,5459,6866,8620,4055,4786,2160,1977,06,045
"Merced County, California",89610,1108,5768,17794,12981,12472,15245,7651,7784,4862,1984,06,047
"Modoc County, California",4774,0,127,525,531,811,894,443,389,261,1976,06,049
"Mono County, California",13632,22,194,1515,2141,2805,3951,1880,240,85,1980,06,051
"Monterey County, California",144659,421,7170,14201,16991,20500,26387,20401,19991,8062,1975,06,053
"Napa County, California",55601,614,2944,6302,6389,7354,10316,6674,7186,2950,1976,06,055
"Nevada County, California",53981,465,2306,7249,9010,12001,11885,4297,2396,1815,1983,06,057
"Orange County, California",1138473,8626,89663,96132,124450,166373,255130,205271,142382,22061,1977,06,059
"Placer County, California",176233,3570,19314,44169,32656,26586,23610,11258,6680,3187,1994,06,061
"Plumas County, California",15037,31,292,1958,2739,2575,2905,1877,1261,703,1980,06,063
"Riverside County, California",860042,10516,77279,211828,125449,174866,117287,61443,49469,14208,1990,06,065
"Sacramento County, California",593616,5503,33035,88635,75683,98613,105118,67369,68049,23418,1980,06,067
"San Benito County, California",20937,406,2284,2488,4478,3698,2826,1266,1414,464,1988,06,069
"San Bernardino County, California",738535,7004,43516,107685,92141,164937,118631,71142,78796,26996,1983,06,071
"San Diego County, California",1240607,9883,80790,148459,143180,230751,269345,143963,124703,39037,1980,06,073
"San Francisco County, California",411542,2897,26296,26616,16345,21653,29129,33465,32608,35678,1945,06,075
"San Joaquin County, California",256826,3744,20161,46242,34170,36571,37215,23800,24550,12499,1983,06,077
"San Luis Obispo County, California",124871,1247,8903,19076,14359,25756,24922,10765,8853,4698,1983,06,079
"San Mateo County, California",285558,1520,14699,15846,16749,27345,46088,46650,62811,29533,1966,06,081
"Santa Barbara County, California",159766,738,8427,13950,14296,25184,29144,30655,18399,5948,1974,06,083
"Santa Clara County, California",694209,6079,60501,63600,64176,80330,143335,123077,96707,23708,1975,06,085
"Santa Cruz County, California",106635,249,3875,8478,9031,17029,22154,14776,10695,7453,1973,06,087
"Shasta County, California",79748,533,3559,10344,11820,16081,16671,8819,6689,2751,1982,06,089
"Sierra County, California",2099,0,127,216,130,424,259,316,231,37,1974,06,091
"Siskiyou County, California",23066,155,902,2254,2559,3755,4560,2133,1676,1492,1976,06,093
"Solano County, California",163455,1267,9699,19756,23499,35055,31807,15201,12311,6141,1982,06,095
"Sonoma County, California",206319,2054,10988,20900,27305,37162,40943,24329,17524,8681,1979,06,097
"Stanislaus County, California",184240,734,7086,30212,25812,31742,35647,16779,16102,9144,1981,06,099
"Sutter County, California",34681,77,1500,5985,5004,5241,5742,4656,2785,1920,1981,06,101
"Tehama County, California",27456,76,1031,3711,4036,5192,4865,2683,2778,938,1981,06,103
"Trinity County, California",8122,21,489,900,751,1362,2024,545,1106,295,1977,06,105
"Tulare County, California",152542,1575,13089,24532,22127,21686,27864,14799,11991,6948,1983,06,107
"Tuolumne County, California",31491,119,663,2956,3856,7377,7615,3978,2265,879,1979,06,109
"Ventura County, California",294651,1853,12940,31598,29550,52834,66994,54301,25701,8056,1977,06,111
"Yolo County, California",81543,1232,6598,14104,9933,11690,14308,9677,7632,2441,1982,06,113
"Yuba County, California",30089,635,2335,7090,3206,3892,5015,2824,2583,1196,1985,06,115
"Adams County, Colorado",191765,4237,24276,39810,28440,23415,26698,19010,19399,3106,1990,08,001
"Alamosa County, Colorado",7148,33,765,1113,1094,941,927,847,417,300,1984,08,003
"Arapahoe County, Colorado",265980,3695,25529,40960,34807,57626,59797,19451,16252,3298,1985,08,005
"Archuleta County, Colorado",9710,76,928,2468,2245,2002,1185,350,154,51,1994,08,007
"Baca County, Colorado",1986,0,70,143,103,245,368,289,329,155,1968,08,009
"Bent County, Colorado",2163,21,16,70,183,237,363,208,249,159,1961,08,011
"Boulder County, Colorado",142809,2081,15938,17811,26697,20991,27218,14203,7090,1996,1986,08,013
"Broomfield County, Colorado",32261,630,8782,7621,5631,2581,4273,1325,1198,121,2001,08,014
"Chaffee County, Colorado",11315,168,1986,1990,1983,1094,1383,400,640,219,1992,08,015
"Cheyenne County, Colorado",965,3,45,40,88,113,183,112,101,86,1969,08,017
"Clear Creek County, Colorado",5768,0,115,499,1092,749,1105,725,315,79,1976,08,019
"Conejos County, Colorado",4058,6,172,453,648,667,508,324,214,184,1978,08,021
"Costilla County, Colorado",2418,22,169,465,408,330,381,55,81,121,1986,08,023
"Crowley County, Colorado",1535,20,33,62,152,251,212,82,103,93,1965,08,025
"Custer County, Colorado",4349,43,531,916,708,824,441,158,167,102,1990,08,027
"Delta County, Colorado",14931,237,730,2562,2135,1492,2854,1016,750,712,1979,08,029
"Denver County, Colorado",352593,7942,54634,38493,23192,25999,42474,34792,45954,18405,1974,08,031
"Dolores County, Colorado",1640,0,96,211,166,303,215,122,161,161,1978,08,033
"Douglas County, Colorado",140542,4932,29235,40382,40031,15729,7015,1286,859,287,2001,08,035
"Eagle County, Colorado",33455,94,2077,7051,9899,6781,4893,1312,531,161,1992,08,037
"Elbert County, Colorado",10193,362,1111,2219,3166,1401,966,168,129,78,1996,08,039
"El Paso County, Colorado",296753,5827,39284,51901,44023,48146,46519,24264,18098,4322,1988,08,041
"Fremont County, Colorado",20449,166,839,3244,3253,2795,3805,1142,1374,615,1980,08,043
"Garfield County, Colorado",24640,233,1914,6141,5276,3861,3508,935,587,407,1992,08,045
"Gilpin County, Colorado",3706,0,245,350,900,454,563,541,166,42,1982,08,047
"Grand County, Colorado",17037,207,1137,4385,2830,3172,3150,1044,346,234,1990,08,049
"Gunnison County, Colorado",12348,132,443,3020,2186,1907,2594,644,372,126,1988,08,051
"Hinsdale County, Colorado",1384,3,62,152,242,335,304,53,62,8,1983,08,053
"Huerfano County, Colorado",4750,22,203,462,756,690,678,363,128,252,1976,08,055
"Jackson County, Colorado",1155,0,105,183,174,54,198,33,50,60,1977,08,057
"Jefferson County, Colorado",251183,2640,20116,24667,34890,40833,62292,31231,21938,5097,1980,08,059
"Kiowa County, Colorado",704,0,18,31,59,61,107,87,109,42,1961,08,061
"Kit Carson County, Colorado",3426,12,85,128,481,210,791,414,236,311,1970,08,063
"Lake County, Colorado",4033,45,129,520,499,309,604,363,322,23,1971,08,065
"La Plata County, Colorado",28613,487,3319,5732,5533,4008,3955,1332,1601,674,1991,08,067
"Larimer County, Colorado",161882,3597,27218,29823,28337,19981,27006,9409,5144,2868,1993,08,069
"Las Animas County, Colorado",8134,27,292,1093,1117,732,925,346,623,379,1971,08,071
"Lincoln County, Colorado",2385,11,140,163,215,385,269,165,110,185,1969,08,073
"Logan County, Colorado",8709,69,245,487,675,659,1376,993,1438,469,1962,08,075
"Mesa County, Colorado",68861,1136,5676,12821,11561,9672,12983,3981,3873,1898,1987,08,077
"Mineral County, Colorado",1251,0,110,229,185,277,150,82,0,18,1986,08,079
"Moffat County, Colorado",6114,3,135,585,932,909,1793,338,332,559,1977,08,081
"Montezuma County, Colorado",12314,209,991,1862,2297,1742,1851,719,1090,648,1985,08,083
"Montrose County, Colorado",19429,329,1767,4607,3373,2266,3343,886,952,437,1991,08,085
"Morgan County, Colorado",11670,105,1105,1186,1588,652,2314,954,1500,409,1975,08,087
"Otero County, Colorado",8725,18,191,458,724,666,1394,568,1310,829,1957,08,089
"Ouray County, Colorado",3466,22,383,952,627,417,417,86,141,0,1994,08,091
"Park County, Colorado",14362,98,928,3021,2913,2471,2693,1243,436,100,1989,08,093
"Phillips County, Colorado",2085,10,138,204,169,110,381,176,188,106,1968,08,095
"Pitkin County, Colorado",13350,102,726,2199,2440,2458,3319,1496,240,64,1985,08,097
"Prowers County, Colorado",5466,0,160,435,625,1063,767,347,643,300,1974,08,099
"Pueblo County, Colorado",73031,576,4507,10540,9490,4625,11288,6666,9966,3803,1974,08,101
"Rio Blanco County, Colorado",3288,15,136,549,186,735,861,176,69,256,1980,08,103
"Rio Grande County, Colorado",6574,30,391,784,1035,1132,710,571,481,224,1981,08,105
"Routt County, Colorado",16913,94,1498,3982,3528,2426,3530,434,287,165,1992,08,107
