FIPS,MEDIAN_INCOME
01001,41087
01001,59613
01001,66836
01001,67608
01001,37198
01001,63205
01001,49653
01001,58239
01001,60736
01001,63750
01001,57610
01001,41410
01001,67849
01001,74886
01001,43014
01001,79421
01001,37736
01001,33153
01001,67770
01001,56999
01001,45584
01001,34182
01001,40176
01001,40501
01001,41632
01001,50862
01001,59713
01001,61535
01001,64464
01001,62385
01001,37355
01001,70549
01001,62407
01001,33632
01001,55404
01001,63611
01001,46185
01001,51473
01001,70163
01001,44672
01001,63115
01001,48572
01001,49430
01001,57468
01001,47493
01001,52672
01001,67888
01001,53616
01001,54369
01001,121491
01001,59706
01001,31064
01001,66601
01001,45261
01001,42179
01001,39811
01001,50943
01001,52337
01001,48367
01001,53657
01001,50520
01001,83660
01001,82671
01001,57392
01001,98333
01001,61871
01001,57759
01001,54630
01001,67813
01001,60989
01001,64801
01001,59762
01001,41933
01001,58786
01001,41719
01001,29052
01001,80006
01001,45266
01001,51138
01001,92266
01001,52546
01001,39439
01001,64995
01001,34992
01001,66336
01001,50067
01001,67849
01001,44957
01001,72500
01001,47753
01001,31784
01001,37349
01001,46077
01001,63075
01001,28321
01001,72899
01001,42273
01001,44103
01001,61112
01001,57811
01001,57459
01001,43345
01001,65246
01001,56500
01001,67660
01001,63439
01001,67077
01001,38035
01001,78617
01001,37267
01001,36981
01001,46798
01001,55339
01001,51241
01001,82874
01001,59351
01001,55946
01001,44539
01001,52960
01001,52047
01001,57638
01001,82172
01001,50193
01001,64536
01001,67418
01001,45637
01001,53394
01001,51768
01001,79277
01001,57256
01001,36074
01001,64819
01001,45743
01001,57537
01001,58281
01001,42776
01001,37396
01001,87320
01001,48514
01001,74277
01001,46368
01001,67298
01001,54254
01001,92983
01001,58522
01001,69630
01001,65062
01001,71903
01001,72026
01001,57933
01001,63248
01001,55234
01001,82080
01001,56199
01001,68441
01001,52237
01001,82904
01001,57393
01001,120324
01001,90904
01001,132059
01001,66368
01001,115876
01001,91146
01001,120592
01001,60495
01001,120458
01001,69031
01001,111317
01001,146982
01001,74402
01001,128733
01001,100708
01001,113347
01001,114580
01001,52462
01001,84378
01001,74157
01001,72861
01001,81455
01001,59623
01001,94452
01001,72565
01001,84198
01001,102348
01001,99431
01001,72584
01001,70535
01001,86391
01001,126779
01001,119750
01001,126497
01001,109698
01001,92859
01001,93561
01001,53568
01001,59406
01001,80255
01001,51909
01001,71421
01001,56989
01001,55117
01001,77873
01001,60523
01001,72603
01001,63152
01001,61958
01001,60385
01001,68011
01001,76495
01001,61619
01001,60631
01001,49805
01001,85928
01001,58614
01001,54829
01001,61882
01001,78025
01001,73724
01001,60673
01001,55576
01001,49672
01001,79486
01001,61128
01001,60869
01001,56573
01001,56963
01001,64354
01001,73436
01001,47777
01001,53614
01001,53759
01001,65004
01001,70525
01001,60365
01001,80390
01001,53893
01001,49680
01001,76228
01001,91943
01001,67013
01001,101315
01001,54338
01001,58598
01001,76399
01001,60879
01001,64675
01001,62296
01001,57774
01001,55688
01001,77538
01001,61868
01001,75272
01001,64892
01001,47803
01001,63495
01001,61931
01001,95296
01001,63624
01001,51983
01001,51844
01001,57050
01001,50581
01001,67285
01001,87144
01001,56713
01001,54106
01001,58347
01001,69349
01001,64707
01001,59074
01001,57708
01001,64464
01001,62847
01001,66902
01001,87156
01001,59521
01001,63123
01001,59498
01001,98764
01001,71117
01001,67257
01001,71480
01001,65475
01001,72623
01001,68690
01001,80042
01001,123144
01001,64937
01001,69192
01001,98260
01001,77664
01001,64934
01001,71643
01001,68239
01001,71343
01001,105212
01001,92943
01001,77264
01001,64391
01001,75225
01001,69012
01001,82749
01001,72957
01001,96339
01001,77087
01001,70622
01001,86573
01001,66380
01001,69955
01001,71915
01001,75097
01001,69615
01001,69115
01001,71639
01001,75621
01001,70091
01001,90218
01001,67715
01001,72761
01001,78468
01001,53925
01001,71701
01001,62969
01001,75037
01001,71455
01001,68640
01001,71495
01001,74475
01001,80362
01001,65509
01001,69833
01001,93494
01001,70912
01001,72561
01001,69666
01001,66073
01001,69136
01001,72205
01001,81004
01001,77500
01001,67024
01001,69086
01001,82792
01001,70698
01001,73611
01001,69455
01001,120247
01001,102965
01001,76082
01001,76447
01001,83448
01001,71060
01001,62601
01001,63039
01001,65931
01001,80133
01001,56882
01001,75052
01001,114457
01001,70593
01001,69635
01001,70198
01001,106666
01001,71573
01001,40250
01001,49404
01001,35385
01001,48098
01001,42139
01001,37315
01001,43942
01001,55275
01001,43041
01001,48321
01001,34371
01001,46054
01001,39904
01001,36259
01001,47994
01001,47001
01001,82980
01001,52821
01001,45618
01001,54822
01001,55838
01001,47998
01001,67728
01001,57233
01001,49966
01001,29434
01001,32976
01001,29271
01001,59508
01001,64756
01001,47157
01001,36207
01001,37183
01001,51143
01001,43595
01001,64334
01001,69106
01001,50033
01001,43368
01001,48418
01001,67144
01001,33188
01001,48316
01001,54460
01001,78794
01001,42320
01001,51875
01001,51231
01001,45057
01001,53087
01001,50426
01001,38814
01001,43482
01001,43990
01001,56535
01001,50435
01001,41578
01001,52741
01001,51466
01001,32131
01001,77454
01001,48492
01001,35741
01001,54111
01001,51396
01001,59307
01001,40265
01001,37383
01001,63995
01001,51141
01001,46257
01001,38402
01001,56807
01001,45444
01001,56648
01001,40117
01001,36791
01001,59964
01001,35930
01001,49071
01001,49171
01001,40974
01001,56583
01001,74007
01001,59260
01001,56232
01001,56611
01001,49503
01001,57914
01001,52200
01001,57286
01001,69913
01001,59423
01001,49213
01001,62520
01001,72645
01001,62927
01001,68912
01001,61712
01001,45083
01001,87413
01001,45577
01001,63307
01001,81245
01001,51458
01001,86150
01001,70625
01001,73273
01001,67548
01001,56345
01001,49899
01001,53177
01001,60665
01001,69093
01001,54306
01001,49828
01001,47368
01001,71973
01001,65096
01001,57458
01001,57488
01001,53839
01001,53364
01001,56621
01001,35084
01001,58516
01001,62628
01001,49814
01001,51161
01001,67178
01001,57525
01001,80522
01001,67123
01001,53333
01001,50825
01001,79091
01001,55849
01001,52340
01001,85276
01001,61975
01001,60148
01001,48145
01001,58318
01001,58435
01001,61359
01001,63908
01001,60357
01001,55172
01001,46258
01001,65161
01001,48299
01001,61042
01001,49663
01001,49237
01001,64583
01001,55970
01001,44259
01001,75355
01001,42329
01001,40748
01001,63356
01001,60232
01001,55427
01001,57572
01001,95748
01001,56686
01001,66435
01001,56875
01001,62054
01001,55310
01001,72152
01001,44357
01001,43898
01001,102912
01001,46731
01001,61310
01001,54813
01001,81340
01001,56566
01001,56023
01001,67568
01001,58847
01001,59000
01001,52127
01001,54067
01001,61323
01001,55500
01001,58258
01001,48055
01001,54519
01001,77989
01001,51886
01001,43393
01001,69731
01001,46167
01001,47304
01001,55279
01001,58072
01001,56680
01001,65050
01001,63636
01001,71017
01001,52171
01001,66203
01001,56927
01001,63585
01001,58000
01001,70953
01001,49533
01001,72284
01001,59731
01001,71327
01001,87454
01001,61750
01001,45129
01001,57353
01001,54646
01001,55313
01001,76576
