TEMPERATURE_F,ANOMALY_F,MONTH,STATE_ABBR,FIPS
32.9,9.9,1,IN,01001
33.3,10.2,1,IN,01001
38.6,9.8,1,IN,01001
36.6,10.6,1,IN,01001
36.2,9.5,1,IN,01001
33.5,10.7,1,IN,01001
38.9,9.9,1,IN,01001
34.7,10.3,1,IN,01001
37.4,9.8,1,IN,01001
35.4,10.3,1,IN,01001
36.6,9.4,1,IN,01001
33.1,9.8,1,IN,01001
32.4,9.4,1,IN,01001
39.5,9.5,1,IN,01001
39.1,9.1,1,IN,01001
37.5,10.1,1,IN,01001
36.0,9.6,1,IN,01001
40.2,7.9,1,IN,01001
39.5,9.2,1,IN,01001
33.0,10.0,1,IN,01001
41.2,9.0,1,IN,01001
33.8,10.5,1,IN,01001
36.1,9.8,1,IN,01001
35.4,10.1,1,IN,01001
38.4,9.6,1,IN,01001
37.5,10.5,1,IN,01001
33.4,10.5,1,IN,01001
39.4,9.3,1,IN,01001
38.1,10.5,1,IN,01001
40.3,8.0,1,IN,01001
33.8,10.8,1,IN,01001
32.4,10.1,1,IN,01001
39.1,10.9,1,IN,01001
40.1,9.8,1,IN,01001
35.1,10.4,1,IN,01001
35.5,10.4,1,IN,01001
36.5,9.4,1,IN,01001
40.7,8.6,1,IN,01001
35.8,9.4,1,IN,01001
38.1,10.7,1,IN,01001
34.3,9.7,1,IN,01001
34.1,9.4,1,IN,01001
40.1,8.5,1,IN,01001
39.0,9.2,1,IN,01001
35.2,9.1,1,IN,01001
34.8,10.1,1,IN,01001
34.2,10.3,1,IN,01001
33.2,9.5,1,IN,01001
26.6,7.2,1,IA,01001
27.5,7.3,1,IA,01001
22.9,8.1,1,IA,01001
28.8,6.8,1,IA,01001
24.8,6.7,1,IA,01001
24.0,6.6,1,IA,01001
23.0,6.7,1,IA,01001
23.9,6.2,1,IA,01001
22.4,7.4,1,IA,01001
23.2,7.2,1,IA,01001
19.9,4.7,1,IA,01001
22.1,6.8,1,IA,01001
21.8,5.3,1,IA,01001
23.2,6.0,1,IA,01001
26.9,7.2,1,IA,01001
27.4,8.1,1,IA,01001
20.1,6.4,1,IA,01001
20.0,4.6,1,IA,01001
22.0,8.0,1,IA,01001
28.2,7.4,1,IA,01001
18.3,4.3,1,IA,01001
24.1,8.5,1,IA,01001
28.5,8.8,1,IA,01001
23.3,5.9,1,IA,01001
25.4,6.2,1,IA,01001
29.3,7.1,1,IA,01001
28.6,7.0,1,IA,01001
24.6,8.5,1,IA,01001
30.2,7.9,1,IA,01001
17.5,4.4,1,IA,01001
25.5,8.3,1,IA,01001
18.1,5.1,1,IA,01001
22.6,8.0,1,IA,01001
21.2,7.0,1,IA,01001
21.4,6.7,1,IA,01001
28.9,6.5,1,IA,01001
23.8,6.1,1,IA,01001
23.0,6.6,1,IA,01001
25.2,6.6,1,IA,01001
21.7,5.5,1,IA,01001
19.4,5.6,1,IA,01001
