STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,DAMAGE_PROPERTY,STORM_AREA_SQMILES,DURATION_MINUTES,MONTH
NEW MEXICO,JUNE,Hail,CHAVES,,0.0,15,6
NEW MEXICO,JUNE,Hail,UNION,,0.0,30,6
ILLINOIS,JULY,Thunderstorm Wind,WINNEBAGO,0.0,0.0,0,7
ILLINOIS,JULY,Thunderstorm Wind,LA SALLE,0.0,0.0,5,7
MINNESOTA,SEPTEMBER,Thunderstorm Wind,WRIGHT,0.0,0.9039235809781593,3,9
MINNESOTA,SEPTEMBER,Thunderstorm Wind,HENNEPIN,0.0,0.0,0,9
NEW MEXICO,MAY,Hail,QUAY,,0.0,34,5
NEW MEXICO,MAY,Thunderstorm Wind,CURRY,0.0,0.0,5,5
NEW MEXICO,MAY,Hail,QUAY,,0.0,42,5
WASHINGTON,JULY,Tornado,LINCOLN,0.0,0.024745099132438133,15,7
NEW MEXICO,JUNE,Hail,UNION,,0.0,19,6
MICHIGAN,JULY,Tornado,LIVINGSTON,50000.0,0.034978624944491145,1,7
OHIO,JULY,Thunderstorm Wind,RICHLAND,0.0,0.0,0,7
OHIO,JULY,Thunderstorm Wind,LUCAS,0.0,0.0,0,7
OHIO,JULY,Thunderstorm Wind,LUCAS,25000.0,0.0,0,7
OHIO,JULY,Thunderstorm Wind,HOLMES,0.0,0.0,0,7
NEW MEXICO,JUNE,Hail,UNION,,0.0,20,6
NEW MEXICO,JUNE,Hail,UNION,20000.0,0.0,19,6
NEW MEXICO,JUNE,Hail,UNION,,0.0,13,6
NEW MEXICO,JUNE,Hail,UNION,,0.0,30,6
NEW MEXICO,JUNE,Hail,UNION,80000.0,0.0,15,6
NEW MEXICO,JUNE,Hail,COLFAX,,0.0,38,6
MINNESOTA,SEPTEMBER,Thunderstorm Wind,HENNEPIN,0.0,0.0,0,9
NEW MEXICO,JULY,Hail,HARDING,0.0,0.0,15,7
NEW MEXICO,JULY,Hail,MORA,3000.0,0.0,29,7
MASSACHUSETTS,SEPTEMBER,Thunderstorm Wind,HAMPSHIRE,500.0,0.0,0,9
OHIO,JULY,Thunderstorm Wind,LUCAS,0.0,0.0,0,7
OHIO,JULY,Thunderstorm Wind,LUCAS,0.0,0.0,0,7
NEW MEXICO,JUNE,Hail,SAN MIGUEL,10000.0,0.0,56,6
OHIO,JULY,Thunderstorm Wind,OTTAWA,0.0,0.0,0,7
OREGON,JUNE,Flood,CLACKAMAS,0.0,0.1463276431707311,30,6
NEBRASKA,JULY,Hail,PLATTE,,0.0,0,7
COLORADO,MAY,Flood,LA PLATA,0.0,0.3312434510581428,60,5
COLORADO,MAY,Flood,GARFIELD,0.0,0.03076141381644569,60,5
COLORADO,MAY,Hail,RIO BLANCO,0.0,0.0,0,5
COLORADO,MAY,Thunderstorm Wind,MESA,0.0,0.0,0,5
VIRGINIA,MAY,Thunderstorm Wind,BRUNSWICK,1000.0,0.0,0,5
NEBRASKA,JULY,Hail,THURSTON,,0.017286979022004077,0,7
NEBRASKA,JULY,Thunderstorm Wind,BUTLER,,0.0,0,7
NEBRASKA,JULY,Hail,SEWARD,,0.0,0,7
NEBRASKA,APRIL,Hail,RICHARDSON,,0.0,0,4
IOWA,APRIL,Thunderstorm Wind,FREMONT,,0.0,0,4
IOWA,APRIL,Thunderstorm Wind,FREMONT,,0.0,0,4
IOWA,APRIL,Thunderstorm Wind,PAGE,,0.0,0,4
KANSAS,APRIL,Thunderstorm Wind,WABAUNSEE,0.0,0.0,1,4
IOWA,APRIL,Thunderstorm Wind,MONTGOMERY,,0.0,0,4
IOWA,APRIL,Thunderstorm Wind,PAGE,,0.0,0,4
IOWA,APRIL,Flash Flood,POTTAWATTAMIE,0.0,0.0,0,4
NEW HAMPSHIRE,JULY,Hail,ROCKINGHAM,0.0,0.0,5,7
NEW HAMPSHIRE,JULY,Hail,COOS,0.0,0.0,5,7
NEBRASKA,JULY,Hail,PLATTE,,0.0,0,7
NEBRASKA,JULY,Hail,PLATTE,,0.0,0,7
NEBRASKA,JULY,Thunderstorm Wind,PLATTE,,0.0,0,7
NEBRASKA,JULY,Hail,PIERCE,,0.0,0,7
NEBRASKA,JULY,Hail,PLATTE,,0.0,0,7
NEBRASKA,JULY,Hail,PLATTE,,0.0,0,7
NEBRASKA,JULY,Hail,MADISON,,0.0,0,7
KANSAS,APRIL,Thunderstorm Wind,SHAWNEE,0.0,0.0,1,4
KANSAS,APRIL,Thunderstorm Wind,LYON,0.0,0.0,1,4
KANSAS,APRIL,Thunderstorm Wind,SHAWNEE,0.0,0.0,1,4
KANSAS,APRIL,Hail,POTTAWATOMIE,0.0,0.0,1,4
KANSAS,APRIL,Thunderstorm Wind,CLAY,0.0,0.0,1,4
KANSAS,APRIL,Hail,SHAWNEE,0.0,0.0,1,4
KANSAS,APRIL,Thunderstorm Wind,NEMAHA,0.0,0.0,1,4
