FIPS,COASTAL_TYPE_SHORELINE,COASTAL_TYPE_WATERSHED
36081,shoreline,watershed
36083,inland,watershed
36085,shoreline,watershed
36087,shoreline,watershed
36089,inland,watershed
36093,inland,watershed
36103,shoreline,watershed
36111,shoreline,watershed
36117,shoreline,watershed
36119,shoreline,watershed
36121,inland,watershed
37007,inland,watershed
37013,shoreline,watershed
37015,shoreline,watershed
37017,inland,watershed
37019,shoreline,watershed
37029,shoreline,watershed
37031,shoreline,watershed
37041,shoreline,watershed
37047,inland,watershed
37049,shoreline,watershed
37051,inland,watershed
37053,shoreline,watershed
37055,shoreline,watershed
37061,inland,watershed
37065,inland,watershed
37073,shoreline,watershed
37079,inland,watershed
37083,inland,watershed
37091,shoreline,watershed
37095,shoreline,watershed
37103,shoreline,watershed
37107,inland,watershed
37117,inland,watershed
37129,shoreline,watershed
37131,inland,watershed
37133,shoreline,watershed
37137,shoreline,watershed
37139,shoreline,watershed
37141,shoreline,watershed
37143,shoreline,watershed
37147,shoreline,watershed
37153,inland,watershed
37163,inland,watershed
37165,inland,watershed
37177,shoreline,watershed
37187,shoreline,watershed
37191,inland,watershed
37195,inland,watershed
39005,inland,watershed
39007,shoreline,watershed
39033,inland,watershed
39035,shoreline,watershed
39039,inland,watershed
39043,shoreline,watershed
39051,inland,watershed
39055,inland,watershed
39063,inland,watershed
39069,inland,watershed
39077,inland,watershed
39085,shoreline,watershed
39093,shoreline,watershed
39095,shoreline,watershed
39101,inland,watershed
39103,inland,watershed
39123,shoreline,watershed
39133,inland,watershed
39143,shoreline,watershed
39147,inland,watershed
39153,inland,watershed
39155,inland,watershed
39173,inland,watershed
39175,inland,watershed
41003,inland,watershed
41005,inland,watershed
41007,shoreline,watershed
41009,inland,watershed
41011,shoreline,watershed
41015,shoreline,watershed
41019,shoreline,watershed
41033,inland,watershed
41039,shoreline,watershed
41041,shoreline,watershed
41051,inland,watershed
41057,shoreline,watershed
42001,inland,watershed
42011,inland,watershed
42017,inland,watershed
42029,inland,watershed
42045,shoreline,watershed
42049,shoreline,watershed
42071,inland,watershed
42075,inland,watershed
42077,inland,watershed
42091,inland,watershed
42101,shoreline,watershed
42107,inland,watershed
42133,inland,watershed
44001,shoreline,watershed
44003,shoreline,watershed
44005,shoreline,watershed
44007,shoreline,watershed
44009,shoreline,watershed
45005,inland,watershed
45013,shoreline,watershed
45015,shoreline,watershed
45019,shoreline,watershed
45025,inland,watershed
45027,inland,watershed
45029,shoreline,watershed
45031,inland,watershed
45033,inland,watershed
45035,shoreline,watershed
45041,inland,watershed
45043,shoreline,watershed
45049,shoreline,watershed
45051,shoreline,watershed
45053,shoreline,watershed
45055,inland,watershed
45057,inland,watershed
45061,inland,watershed
45067,inland,watershed
45069,inland,watershed
45085,inland,watershed
45089,inland,watershed
48007,shoreline,watershed
48015,inland,watershed
48025,inland,watershed
48039,shoreline,watershed
48047,inland,watershed
48057,shoreline,watershed
48061,shoreline,watershed
48071,shoreline,watershed
48089,inland,watershed
48123,inland,watershed
48131,inland,watershed
48149,inland,watershed
48157,inland,watershed
48167,shoreline,watershed
48175,inland,watershed
48201,shoreline,watershed
48215,inland,watershed
48239,shoreline,watershed
48241,inland,watershed
48245,shoreline,watershed
48247,inland,watershed
48249,inland,watershed
48261,shoreline,watershed
48273,shoreline,watershed
48285,inland,watershed
48291,inland,watershed
48297,inland,watershed
48321,shoreline,watershed
48351,inland,watershed
48355,shoreline,watershed
48361,shoreline,watershed
48391,shoreline,watershed
48409,shoreline,watershed
48427,inland,watershed
48457,inland,watershed
48469,shoreline,watershed
48473,inland,watershed
48477,inland,watershed
48479,inland,watershed
48481,inland,watershed
48489,shoreline,watershed
51001,shoreline,watershed
51007,inland,watershed
51011,inland,watershed
51013,shoreline,watershed
51029,inland,watershed
51033,shoreline,watershed
51036,shoreline,watershed
51041,shoreline,watershed
51049,inland,watershed
51053,inland,watershed
51057,shoreline,watershed
