FIPS,POPULATION
01001,37967
01001,7137
01001,6011
01001,28547
01001,31697
01001,5903
01001,56382
01001,24956
01001,19713
01001,36467
01001,23483
01001,10942
01001,39868
01001,1956
01001,18722
01001,293109
01001,9590
01001,12963
01001,6997
01001,7310
01001,10877
01001,1361
01001,84601
01001,5888
01001,11938
01001,1524
01001,8874
01001,9512
01001,2817
01001,11581
01001,108445
01001,122194
01001,938
01001,13713
01001,840
01001,3419
01001,16260
01001,12501
01001,2053
01001,32073
01001,72580
01001,1968
01001,20656
01001,1818
01001,8975
01001,1979
01001,4796
01001,119639
01001,5068
01001,17484
01001,401
01001,4224
01001,6012
01001,1762
01001,7029
01001,1251
01001,45807
01001,11329
01001,10665
01001,8236
01001,12936
01001,3677
01001,35589
01001,9052
01001,3713
01001,6291
01001,5028
01001,761
01001,7540
01001,2049
01001,1148
01001,167340
01001,31034
01001,6302
01001,540
01001,657
01001,385
01001,5366
01001,10754
01001,1704
01001,2739
01001,50323
01001,6730
01001,8413
01001,26963
01001,8344
01001,3639
01001,5468
01001,9478
01001,6084
01001,10541
01001,8976
01001,10544
01001,21331
01001,8212
01001,24020
01001,1865
01001,5561
01001,37146
01001,585461
01001,1811
01001,5551
01001,2868
01001,2562
01001,4605
01001,21646
01001,1620
01001,1797
01001,1929
01001,695
01001,2211
01001,62431
01001,9438
01001,3006
01001,854
01001,2601
01001,10093
01001,613
01001,6492
01001,7155
01001,5263
01001,6697
01001,8239
01001,939
01001,3348
01001,8362
01001,323673
01001,34122
01001,812
01001,564
01001,463
01001,35535
01001,7696
01001,4544
01001,3342
01001,7035
01001,4089
01001,16075
01001,2539
01001,2835
01001,8983
01001,7312
01001,34358
01001,5209
01001,10611
01001,7797
01001,1335
01001,14642
01001,194051
01001,22761
01001,35937
01001,17636
01001,5058
01001,2974
01001,1197
01001,5835
01001,4938
01001,626
01001,6666
01001,4094
01001,20989
01001,9786
01001,3385
01001,785
01001,14231
01001,25614
01001,2293764
01001,49624
01001,53852
01001,962
01001,1660
01001,17299
01001,5745
01001,4452
01001,60630
01001,4557
01001,53207
01001,6505
01001,4139
01001,491770
01001,8856
01001,58364
01001,64300
01001,51259
01001,76945
01001,31386
01001,91759
01001,424732
01001,155018
01001,317163
01001,131743
01001,43529
01001,274704
01001,954717
01001,464226
01001,524042
01001,95236
01001,152915
01001,854130
01001,304504
01001,710478
01001,129448
01001,383286
01001,861535
01001,643615
01001,510375
01001,646434
01001,518289
01001,64973
01001,346203
01001,145117
01001,572549
01001,110238
01001,674357
01001,3685
01001,64446
01001,27059
01001,12336
01001,47932
01001,1580
01001,221665
01001,61114
01001,27856
01001,4379
01001,748
01001,4097
01001,73154
01001,20227
01001,19374
01001,25420
01001,71172
01001,4176
01001,68235
01001,8616
01001,40165
01001,19002
01001,151538
01001,121178
01001,27036
01001,155175
01001,11511
01001,16308
01001,34516
01001,15290
01001,4039
01001,77382
01001,315374
01001,47027
01001,1419250
01001,197738
01001,76479
01001,75464
01001,126329
01001,82805
01001,46685
01001,78961
01001,61245
01001,46401
01001,44551
01001,297144
01001,950044
01001,37077
01001,47066
01001,52787
01001,57943
01001,47554
01001,5102
01001,59932
