STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,DAMAGE_PROPERTY,STORM_AREA_MILES,DURATION_MINUTES,MONTH,FIPS
OHIO,MARCH,Thunderstorm Wind,VINTON,200.0,0.0,0,3,39163
NORTH CAROLINA,JULY,Thunderstorm Wind,MOORE,5000.0,0.0,0,7,37125
NORTH CAROLINA,JULY,Thunderstorm Wind,CHATHAM,0.0,0.0,0,7,37037
NORTH CAROLINA,JULY,Thunderstorm Wind,CHATHAM,0.0,0.0,0,7,37037
NORTH CAROLINA,JULY,Thunderstorm Wind,HARNETT,0.0,0.0,0,7,37085
VIRGINIA,AUGUST,Flash Flood,VIRGINIA BEACH (C),0.0,0.00045783258930438245,90,8,51810
WASHINGTON,AUGUST,Thunderstorm Wind,CHELAN,0.0,0.0,10,8,53007
NEW HAMPSHIRE,JUNE,Flash Flood,CARROLL,0.0,2.5626893403950133,105,6,33003
NEW HAMPSHIRE,JUNE,Flash Flood,CARROLL,0.0,0.050349664068972046,40,6,33003
CALIFORNIA,MARCH,Thunderstorm Wind,FRESNO,1000.0,0.0,0,3,06019
CALIFORNIA,MARCH,Thunderstorm Wind,FRESNO,1000.0,0.00160837518102617,0,3,06019
CALIFORNIA,MARCH,Thunderstorm Wind,FRESNO,6000.0,0.00042120404828510877,0,3,06019
CALIFORNIA,MARCH,Flood,TULARE,0.0,0.0025306058555289793,180,3,06107
CALIFORNIA,MARCH,Flood,KERN,0.0,0.6413770342122358,180,3,06029
CALIFORNIA,MARCH,Flood,FRESNO,0.0,0.001299913014494797,180,3,06019
CALIFORNIA,MARCH,Flood,FRESNO,0.0,0.0015213120224389632,180,3,06019
CALIFORNIA,MARCH,Flood,MADERA,0.0,0.005460928242193605,180,3,06039
CALIFORNIA,MARCH,Flood,MERCED,1000.0,0.03544973377373748,180,3,06047
CALIFORNIA,MARCH,Flood,MARIPOSA,0.0,0.016944321506324602,180,3,06043
CALIFORNIA,MARCH,Flood,KERN,0.0,0.000931130183129004,180,3,06029
CALIFORNIA,MARCH,Heavy Rain,TULARE,0.0,0.0,0,3,06107
KANSAS,MAY,Tornado,WALLACE,,16.65646850427684,20,5,20199
SOUTH DAKOTA,JUNE,Thunderstorm Wind,CORSON,0.0,0.0,0,6,46031
SOUTH DAKOTA,JUNE,Hail,LYMAN,,0.0,0,6,46085
SOUTH DAKOTA,APRIL,Flood,GRANT,0.0,1.3411831345602399,1230,4,46051
SOUTH DAKOTA,APRIL,Flood,CODINGTON,0.0,1.3489681879255073,240,4,46029
MISSOURI,MARCH,Flood,WAYNE,0.0,0.04071171545589619,1080,3,29223
MISSOURI,MARCH,Flood,BUTLER,0.0,0.6593384859626386,360,3,29023
MISSOURI,MARCH,Flood,RIPLEY,15000.0,2.639886622639707,240,3,29181
ILLINOIS,MARCH,Flood,WAYNE,0.0,7.519003338072865,240,3,17191
ILLINOIS,MARCH,Flood,GALLATIN,0.0,0.03530606979695859,660,3,17059
ILLINOIS,MARCH,Flood,PULASKI,0.0,0.125496758413379,660,3,17153
ILLINOIS,MARCH,Flood,ALEXANDER,0.0,0.04156422668421476,840,3,17003
CALIFORNIA,MARCH,Flood,ALAMEDA,0.0,0.012816970549987922,0,3,06001
