TEMPERATURE_F,ANOMALY,MONTH,FIPS
53.3,4.6,1,13321
32.2,2.8,1,16001
24.2,1.4,1,16003
23.2,1.0,1,16005
18.4,0.5,1,16007
31.0,4.8,1,16009
20.4,0.6,1,16011
19.1,-0.3,1,16013
23.0,0.1,1,16015
28.2,5.2,1,16017
18.4,-0.6,1,16019
26.8,6.1,1,16021
16.0,-0.5,1,16023
19.7,-0.0,1,16025
32.4,3.4,1,16027
19.7,-0.3,1,16029
24.4,0.2,1,16031
16.8,0.7,1,16033
26.8,2.3,1,16035
16.7,-0.5,1,16037
26.2,1.0,1,16039
21.5,0.6,1,16041
16.5,0.9,1,16043
28.6,2.0,1,16045
26.6,2.1,1,16047
24.4,1.9,1,16049
16.7,0.5,1,16051
28.0,2.8,1,16053
31.2,5.7,1,16055
31.4,4.5,1,16057
18.3,0.4,1,16059
29.2,2.8,1,16061
23.1,1.5,1,16063
18.8,0.7,1,16065
23.3,1.6,1,16067
32.2,3.5,1,16069
22.8,-0.1,1,16071
27.1,0.1,1,16073
31.6,4.4,1,16075
23.0,0.6,1,16077
26.9,3.5,1,16079
17.7,0.8,1,16081
26.4,0.2,1,16083
19.3,-0.1,1,16085
26.5,1.3,1,16087
32.8,7.5,1,17001
42.1,8.8,1,17003
37.4,8.6,1,17005
28.4,9.2,1,17007
32.9,7.7,1,17009
30.2,9.2,1,17011
36.2,8.4,1,17013
27.8,8.9,1,17015
33.8,8.4,1,17017
34.4,9.7,1,17019
36.0,9.5,1,17021
37.6,10.1,1,17023
38.9,9.9,1,17025
38.7,9.1,1,17027
36.1,9.6,1,17029
32.0,9.5,1,17031
38.5,9.9,1,17033
37.0,9.6,1,17035
29.1,9.1,1,17037
34.2,9.9,1,17039
35.8,10.2,1,17041
30.8,9.2,1,17043
36.3,9.9,1,17045
39.9,9.3,1,17047
37.6,9.8,1,17049
37.5,9.2,1,17051
33.5,10.0,1,17053
40.4,9.2,1,17055
32.5,8.5,1,17057
41.6,9.2,1,17059
35.8,8.3,1,17061
31.7,9.6,1,17063
40.4,9.2,1,17065
31.6,7.4,1,17067
42.0,9.2,1,17069
30.5,7.8,1,17071
29.2,8.2,1,17073
33.0,9.4,1,17075
40.1,8.7,1,17077
38.1,9.8,1,17079
39.8,9.5,1,17081
36.8,8.5,1,17083
26.7,8.6,1,17085
41.2,8.8,1,17087
29.8,9.2,1,17089
32.3,9.4,1,17091
30.3,8.7,1,17093
30.5,8.4,1,17095
30.6,9.7,1,17097
30.9,9.3,1,17099
39.0,9.2,1,17101
29.1,9.2,1,17103
33.1,10.4,1,17105
34.6,9.7,1,17107
31.5,7.9,1,17109
28.8,9.3,1,17111
33.7,10.4,1,17113
34.8,9.4,1,17115
36.0,8.6,1,17117
37.2,7.8,1,17119
38.7,9.5,1,17121
32.1,9.8,1,17123
34.1,9.1,1,17125
42.5,9.1,1,17127
34.3,9.0,1,17129
29.9,8.4,1,17131
39.3,8.4,1,17133
36.3,8.8,1,17135
34.5,8.7,1,17137
35.5,9.5,1,17139
28.4,9.2,1,17141
32.4,9.5,1,17143
39.6,8.9,1,17145
34.7,9.9,1,17147
34.5,8.2,1,17149
41.8,9.1,1,17151
42.0,8.7,1,17153
31.6,9.4,1,17155
39.1,8.2,1,17157
39.1,9.5,1,17159
29.4,8.4,1,17161
38.4,8.1,1,17163
41.1,9.1,1,17165
35.0,9.1,1,17167
32.7,8.0,1,17169
34.8,8.4,1,17171
36.3,9.5,1,17173
30.7,9.0,1,17175
27.5,9.3,1,17177
33.7,10.0,1,17179
40.7,8.6,1,17181
34.2,9.0,1,17183
39.7,9.0,1,17185
30.2,8.0,1,17187
39.1,9.0,1,17189
39.8,9.5,1,17191
40.8,9.2,1,17193
28.9,8.8,1,17195
31.4,8.9,1,17197
40.8,9.1,1,17199
28.5,9.5,1,17201
33.0,10.4,1,17203
34.9,10.4,1,18001
34.0,10.0,1,18003
38.8,10.1,1,18005
33.6,9.9,1,18007
35.7,10.3,1,18009
34.9,9.8,1,18011
37.7,9.8,1,18013
35.1,10.5,1,18015
34.8,10.6,1,18017
39.8,8.8,1,18019
37.8,10.5,1,18021
34.9,10.1,1,18023
39.6,8.4,1,18025
39.1,9.8,1,18027
38.5,9.2,1,18029
38.3,10.0,1,18031
32.8,9.7,1,18033
36.5,10.7,1,18035
39.4,8.9,1,18037
32.7,9.9,1,18039
36.8,9.9,1,18041
40.2,8.9,1,18043
35.0,9.7,1,18045
37.8,9.7,1,18047
34.0,10.8,1,18049
40.0,9.0,1,18051
35.7,10.4,1,18053
38.5,10.6,1,18055
35.8,9.9,1,18057
37.0,10.4,1,18059
40.6,9.0,1,18061
35.6,9.5,1,18063
36.3,10.6,1,18065
35.2,10.4,1,18067
34.4,9.8,1,18069
39.2,9.8,1,18071
33.4,10.1,1,18073
35.6,10.4,1,18075
39.6,9.6,1,18077
38.9,9.5,1,18079
37.0,9.9,1,18081
39.4,9.8,1,18083
33.2,10.0,1,18085
32.6,9.9,1,18087
32.9,9.9,1,18089
33.3,10.2,1,18091
38.6,9.8,1,18093
36.6,10.6,1,18095
36.2,9.5,1,18097
33.5,10.7,1,18099
38.9,9.9,1,18101
34.7,10.3,1,18103
37.4,9.8,1,18105
35.4,10.3,1,18107
36.6,9.4,1,18109
33.1,9.8,1,18111
32.4,9.4,1,18113
39.5,9.5,1,18115
39.1,9.1,1,18117
37.5,10.1,1,18119
36.0,9.6,1,18121
40.2,7.9,1,18123
39.5,9.2,1,18125
33.0,10.0,1,18127
41.2,9.0,1,18129
33.8,10.5,1,18131
36.1,9.8,1,18133
35.4,10.1,1,18135
38.4,9.6,1,18137
37.5,10.5,1,18139
33.4,10.5,1,18141
39.4,9.3,1,18143
38.1,10.5,1,18145
40.3,8.0,1,18147
33.8,10.8,1,18149
32.4,10.1,1,18151
39.1,10.9,1,18153
40.1,9.8,1,18155
35.1,10.4,1,18157
35.5,10.4,1,18159
36.5,9.4,1,18161
40.7,8.6,1,18163
35.8,9.4,1,18165
38.1,10.7,1,18167
34.3,9.7,1,18169
34.1,9.4,1,18171
40.1,8.5,1,18173
39.0,9.2,1,18175
35.2,9.1,1,18177
34.8,10.1,1,18179
34.2,10.3,1,18181
33.2,9.5,1,18183
26.6,7.2,1,19001
27.5,7.3,1,19003
22.9,8.1,1,19005
28.8,6.8,1,19007
24.8,6.7,1,19009
24.0,6.6,1,19011
23.0,6.7,1,19013
23.9,6.2,1,19015
22.4,7.4,1,19017
23.2,7.2,1,19019
19.9,4.7,1,19021
22.1,6.8,1,19023
21.8,5.3,1,19025
23.2,6.0,1,19027
26.9,7.2,1,19029
27.4,8.1,1,19031
20.1,6.4,1,19033
20.0,4.6,1,19035
22.0,8.0,1,19037
28.2,7.4,1,19039
18.3,4.3,1,19041
24.1,8.5,1,19043
28.5,8.8,1,19045
23.3,5.9,1,19047
25.4,6.2,1,19049
29.3,7.1,1,19051
28.6,7.0,1,19053
24.6,8.5,1,19055
30.2,7.9,1,19057
17.5,4.4,1,19059
25.5,8.3,1,19061
18.1,5.1,1,19063
22.6,8.0,1,19065
21.2,7.0,1,19067
21.4,6.7,1,19069
28.9,6.5,1,19071
23.8,6.1,1,19073
23.0,6.6,1,19075
25.2,6.6,1,19077
21.7,5.5,1,19079
19.4,5.6,1,19081
22.5,6.4,1,19083
25.1,5.8,1,19085
29.8,7.8,1,19087
21.1,8.4,1,19089
20.4,4.9,1,19091
21.8,5.2,1,19093
26.1,7.4,1,19095
27.5,8.8,1,19097
25.7,6.6,1,19099
28.4,6.9,1,19101
26.8,7.5,1,19103
26.8,8.9,1,19105
27.4,7.4,1,19107
19.4,5.6,1,19109
30.4,6.8,1,19111
24.9,7.4,1,19113
30.2,8.7,1,19115
28.2,7.1,1,19117
16.9,3.0,1,19119
27.0,7.0,1,19121
27.2,6.9,1,19123
26.9,6.0,1,19125
24.3,6.6,1,19127
27.8,6.2,1,19129
20.6,7.6,1,19131
23.5,5.3,1,19133
28.2,6.8,1,19135
28.0,7.2,1,19137
29.0,8.3,1,19139
17.9,3.7,1,19141
17.0,3.7,1,19143
29.2,7.6,1,19145
18.8,4.6,1,19147
19.7,3.6,1,19149
19.8,4.2,1,19151
25.2,5.6,1,19153
26.5,6.1,1,19155
25.7,7.1,1,19157
28.4,7.3,1,19159
21.6,5.3,1,19161
28.7,8.3,1,19163
25.0,6.4,1,19165
17.3,2.4,1,19167
23.8,6.1,1,19169
24.1,6.7,1,19171
28.8,7.7,1,19173
27.4,7.2,1,19175
29.2,6.5,1,19177
28.3,7.0,1,19179
26.8,6.0,1,19181
28.5,8.2,1,19183
28.6,7.0,1,19185
21.8,5.4,1,19187
19.1,6.0,1,19189
