FIPS,MEDIAN_INCOME
22089,82172
22091,50193
22093,64536
22095,67418
22097,45637
22099,53394
22101,51768
22103,79277
22105,57256
22107,36074
22109,64819
22111,45743
22113,57537
22115,58281
22117,42776
22119,37396
22121,87320
22123,48514
22125,74277
22127,46368
23001,67298
23003,54254
23005,92983
23007,58522
23009,69630
23011,65062
23013,71903
23015,72026
23017,57933
23019,63248
23021,55234
23023,82080
23025,56199
23027,68441
23029,52237
23031,82904
24001,57393
24003,120324
24005,90904
24009,132059
24011,66368
24013,115876
24015,91146
24017,120592
24019,60495
24021,120458
24023,69031
24025,111317
24027,146982
24029,74402
24031,128733
24033,100708
24035,113347
24037,114580
24039,52462
24041,84378
24043,74157
24045,72861
24047,81455
24510,59623
25001,94452
25003,72565
25005,84198
25007,102348
25009,99431
25011,72584
25013,70535
25015,86391
25017,126779
25019,119750
25021,126497
25023,109698
25025,92859
25027,93561
26001,53568
26003,59406
26005,80255
26007,51909
26009,71421
26011,56989
26013,55117
26015,77873
26017,60523
26019,72603
26021,63152
26023,61958
26025,60385
26027,68011
26029,76495
26031,61619
26033,60631
26035,49805
26037,85928
26039,58614
26041,54829
26043,61882
26045,78025
26047,73724
26049,60673
26051,55576
26053,49672
26055,79486
26057,61128
26059,60869
26061,56573
26063,56963
26065,64354
26067,73436
26069,47777
26071,53614
26073,53759
26075,65004
26077,70525
26079,60365
26081,80390
26083,53893
26085,49680
26087,76228
26089,91943
26091,67013
26093,101315
26095,54338
26097,58598
26099,76399
26101,60879
26103,64675
26105,62296
26107,57774
26109,55688
26111,77538
26113,61868
26115,75272
26117,64892
26119,47803
26121,63495
26123,61931
26125,95296
26127,63624
26129,51983
26131,51844
26133,57050
26135,50581
26137,67285
26139,87144
26141,56713
26143,54106
26145,58347
26147,69349
26149,64707
26151,59074
26153,57708
26155,64464
26157,62847
26159,66902
26161,87156
26163,59521
26165,63123
27001,59498
27003,98764
27005,71117
27007,67257
27009,71480
27011,65475
27013,72623
27015,68690
27017,80042
27019,123144
27021,64937
27023,69192
27025,98260
27027,77664
27029,64934
27031,71643
27033,68239
27035,71343
27037,105212
27039,92943
27041,77264
27043,64391
27045,75225
27047,69012
27049,82749
27051,72957
27053,96339
27055,77087
27057,70622
27059,86573
27061,66380
27063,69955
27065,71915
27067,75097
27069,69615
27071,69115
27073,71639
27075,75621
27077,70091
27079,90218
27081,67715
27083,72761
27085,78468
27087,53925
27089,71701
27091,62969
27093,75037
27095,71455
27097,68640
27099,71495
27101,74475
27103,80362
27105,65509
27107,69833
27109,93494
27111,70912
27113,72561
27115,69666
27117,66073
27119,69136
27121,72205
27123,81004
27125,77500
27127,67024
27129,69086
27131,82792
27133,70698
27135,73611
27137,69455
27139,120247
27141,102965
27143,76082
27145,76447
27147,83448
27149,71060
27151,62601
27153,63039
27155,65931
27157,80133
27159,56882
27161,75052
27163,114457
27165,70593
27167,69635
27169,70198
27171,106666
27173,71573
28001,40250
28003,49404
28005,35385
28007,48098
28009,42139
28011,37315
28013,43942
28015,55275
28017,43041
28019,48321
28021,34371
28023,46054
28025,39904
28027,36259
28029,47994
28031,47001
28033,82980
28035,52821
28037,45618
28039,54822
28041,55838
28043,47998
28045,67728
28047,57233
28049,49966
28051,29434
28053,32976
28055,29271
28057,59508
28059,64756
28061,47157
28063,36207
28065,37183
28067,51143
28069,43595
28071,64334
28073,69106
28075,50033
28077,43368
28079,48418
28081,67144
28083,33188
28085,48316
28087,54460
28089,78794
28091,42320
28093,51875
28095,51231
28097,45057
28099,53087
28101,50426
28103,38814
28105,43482
28107,43990
28109,56535
28111,50435
28113,41578
28115,52741
28117,51466
28119,32131
28121,77454
28123,48492
28125,35741
28127,54111
28129,51396
28131,59307
28133,40265
28135,37383
28137,63995
28139,51141
28141,46257
28143,38402
28145,56807
28147,45444
28149,56648
28151,40117
28153,36791
28155,59964
28157,35930
28159,49071
28161,49171
28163,40974
29001,56583
29003,74007
29005,59260
29007,56232
29009,56611
29011,49503
29013,57914
29015,52200
29017,57286
29019,69913
29021,59423
29023,49213
29025,62520
29027,72645
29029,62927
29031,68912
29033,61712
29035,45083
29037,87413
29039,45577
29041,63307
29043,81245
29045,51458
29047,86150
29049,70625
29051,73273
29053,67548
29055,56345
29057,49899
29059,53177
29061,60665
29063,69093
29065,54306
29067,49828
29069,47368
29071,71973
29073,65096
29075,57458
29077,57488
29079,53839
29081,53364
29083,56621
29085,35084
29087,58516
29089,62628
29091,49814
29093,51161
29095,67178
29097,57525
29099,80522
29101,67123
29103,53333
29105,50825
29107,79091
29109,55849
29111,52340
29113,85276
29115,61975
29117,60148
29119,48145
29121,58318
29123,58435
29125,61359
29127,63908
29129,60357
29131,55172
29133,46258
29135,65161
29137,48299
29139,61042
29141,49663
29143,49237
29145,64583
29147,55970
29149,44259
29151,75355
29153,42329
29155,40748
29157,63356
29159,60232
29161,55427
29163,57572
29165,95748
29167,56686
29169,66435
29171,56875
29173,62054
29175,55310
29177,72152
29179,44357
29181,43898
29183,102912
29185,46731
29186,61310
29187,54813
29189,81340
29195,56566
29197,56023
29199,67568
29201,58847
29203,59000
29205,52127
29207,54067
29209,61323
29211,55500
29213,58258
29215,48055
29217,54519
29219,77989
29221,51886
29223,43393
29225,69731
29227,46167
29229,47304
29510,55279
30001,58072
30003,56680
30005,65050
30007,63636
30009,71017
30011,52171
30013,66203
30015,56927
30017,63585
30019,58000
30021,70953
30023,49533
30025,72284
30027,59731
30029,71327
30031,87454
30033,61750
30035,45129
30037,57353
30039,54646
30041,55313
30043,76576
30045,55417
30047,61965
30049,74543
30051,53264
30053,47018
30055,71842
30057,67420
30059,56215
30061,61117
30063,71246
30065,59010
30067,66607
30069,59318
30071,58156
30073,53500
30075,68009
30077,63432
30079,45192
30081,71323
30083,69578
30085,53125
30087,56430
30089,54035
30091,63654
30093,57504
30095,81503
30097,69426
30099,67766
30101,53693
30103,73036
30105,64515
30107,47054
30109,64792
30111,74400
31001,65680
31003,63750
31005,67500
31007,71250
31009,61250
31011,71367
31013,68778
31015,58984
31017,51538
31019,74570
31021,57303
31023,82603
31025,88255
31027,73977
31029,62782
31031,63750
31033,57594
31035,75938
31037,79720
31039,70708
31041,66310
31043,71655
31045,54381
31047,65383
31049,61438
31051,69156
31053,71294
31055,79081
31057,56563
31059,76354
31061,57692
31063,68207
31065,60625
31067,64426
31069,44777
31071,68611
31073,79145
31075,69063
31077,58894
31079,67549
31081,79884
31083,70536
31085,60313
31087,52016
31089,67225
31091,45854
31093,74508
31095,60568
31097,59457
31099,79167
31101,58132
31103,60313
31105,59438
31107,64821
31109,72625
31111,64342
31113,71650
31115,60156
